,ZOKPV1_bom,,
,,,
Footprint,Value,LCSC Part #,Qty
805,10uF 10V,C326595,2
603,100 nF,C14663,9
603,100nF 25V,C14663,9
805,1uF 25V,C91186,4
1210,10uF 25V,C700527,3
805,22uF 25V,C602037,3
CP_Elec_6.3x5.4,10uF,C72488,1
CONN-TH_B2B-XH-A-LF-SN,B2B-XH-A,C158012,6
SOD-123_L2.7-W1.6-LS3.7-FD,B0540W,C7420325,2
D_SOD-523,ESD5B5.0S,C93623,4
D_SOD-523,ESD5Z3.3T,C61148,4
SMB_L4.3-W3.6-LS5.3-RD,SS24-SMB,C908683,2
L1008,LQM2HPN2R2MJ0L,C113101,1
LED0603-RD_RED,XL-1608SURC-06,C965799,3
603,5.1K,C105580,4
603,2.2K,C113303,6
603,100K,C122538,3
603,10K,C136944,17
603,33R,C108661,4
SW-SMD_L3.9-W3.0-P4.45,TS-1088-AR02016,C720477,4
ESP32-S3-WROOM-1U,ESP32-S3-WROOM-1,C2980296,1
CONN-TH_DB125-3.5-4P-GN,DB125-3.5-4P-GN,C2757925,2
WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,TPS62172DSG,C59873,1
HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-TL-EP-1,DRV8411APWPR,C22428260,1
USB-C-SMD_TYPE-C-6PIN-2MD-073,TYPE-C 16PIN 2MD,C2765186,2
603,3.3nF 25V,C107088,1
CONN-TH_B4B-PH-K-S,Conn_01x04_Socket,C144395,3
L0805,MLP2012H2R2MT0S1,C383369,1
Espressif:ESP32-S3-WROOM-1,ESP32-S3-WROOM-1(N16R8),C2913202,1
603,10uF 10V,C596327,0
603,47nF,C107093,0
603,100nF 10V,C14663,9
CONN-SMD_HC-FPC-1.0-16P-CSH25,HC-FPC-1.0-16P-CSH25,C49166869,0
603,LED_0603_Red,C19171390,0
603,LED_0603_Green,C22371297,0
SOT-23,2N7002,C81445,0
603,100R,C122970,0
603,1K,C110776,0
1206,R25,C858783,0
603,1.6k,C861205,0
RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,10K,C110924,0
Espressif:ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,C2913202,1
WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm,TPS63031DSK,C15516,0
ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,TP4056,C16581,0
TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,MAX40200AUK+T,C2649430,0
TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,TMUX1208PWR,C494728,0
SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,TLV9001IDBVR,C398363,0
RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,CAT16-222J4LF,C1731357,0
