Designator,Mid X,Mid Y,Rotation,Layer
C1,39.4425,33.24,270.0,top
C10,12.00024,31.043621,0.0,top
C2,13.25,3.305,90.0,top
C3,10.69,3.37,90.0,top
C4,43.97,18.335,90.0,top
C5,40.78,2.52,270.0,top
C6,41.045,8.87,180.0,top
C7,9.80024,18.843621,0.0,top
C8,2.55024,11.593621,90.0,top
C9,11.40024,26.243621,180.0,top
CN1,3.55024,37.227832,180.0,top
CN2,2.52274,29.200332,270.0,top
CN3,4.36,46.2,0.0,top
CN4,12.86,46.13,0.0,top
D1,38.3425,36.49,180.0,top
D2,41.35,18.48,270.0,top
D3,34.33226,29.98,270.0,top
D4,47.64,18.6,90.0,top
D5,41.14,10.95,180.0,top
D6,2.528411,21.043621,90.0,top
H1,2.82,53.26,0.0,top
H2,2.82,3.26,0.0,top
H3,46.82,3.26,0.0,top
H4,46.82,53.26,0.0,top
IR-1,41.5,16.47,0.0,top
IR-2,24.41,22.57,0.0,top
IR-3,18.73,12.93,0.0,top
IR-4,22.39,21.8,0.0,top
JP1,13.0964,13.843621,0.0,top
L1,10.5,11.845,90.0,top
LED1,22.34,24.09,180.0,top
R1,45.30024,21.75,0.0,top
R10,31.36,25.605,90.0,top
R11,29.02,25.615,90.0,top
R12,9.30024,7.343621,180.0,top
R13,14.45,8.925,270.0,top
R14,16.67,39.94,180.0,top
R2,36.8425,33.24,90.0,top
R3,39.48,28.305,270.0,top
R4,36.87226,29.855,270.0,top
R5,17.77,3.595,270.0,top
R6,15.34,3.455,90.0,top
R7,14.99,16.675,90.0,top
R8,19.415,21.61,0.0,top
R9,42.81,5.75,90.0,top
SCL1,29.72,22.54,0.0,top
SDA1,31.36,22.62,0.0,top
SW1,45.72,12.7,0.0,top
SW2,45.75,8.97,0.0,top
U1,29.40024,10.243621,180.0,top
U2,24.84,46.55,180.0,top
U3,39.95,46.61,180.0,top
U4,6.55024,10.593621,0.0,top
U5,11.60024,37.043621,180.0,top
USB1,45.01,31.24,90.0,top
X-SHUT1,27.9,22.56,0.0,top
X-SHUT2,41.51,14.66,0.0,top
X-SHUT3,26.18,22.5,0.0,top
